,title,link,price
0,Mario Kart 8 Deluxe - Nintendo Switch+adaptery kierownicy(Wheel Pair),https://www.olx.pl/oferta/mario-kart-8-deluxe-nintendo-switch-adaptery-kierownicywheel-pair-CID99-IDJwQVt.html#1990a994a4;promoted,225
1,"Return of the Obra Dinn Nintendo Switch Nowa, Folia.",https://www.olx.pl/oferta/return-of-the-obra-dinn-nintendo-switch-nowa-folia-CID99-IDJwa3p.html#1990a994a4;promoted,399
2,Gry Nintendo Switch,https://www.olx.pl/oferta/gry-nintendo-switch-CID99-IDJuPEQ.html#1990a994a4;promoted,200
3,"Oryginalne pudelko, Nintendo Switch, Nowe, Warszawa",https://www.olx.pl/oferta/oryginalne-pudelko-nintendo-switch-nowe-warszawa-CID99-IDJuGpL.html#1990a994a4;promoted,19
4,Nintendo Switch Lite Szare *Zbanowane* !!PILNE!!,https://www.olx.pl/oferta/nintendo-switch-lite-szare-zbanowane-pilne-CID99-IDJeVoC.html#1990a994a4;promoted,500
5,Ps4 pro zamiana na Nintendo switch,https://www.olx.pl/oferta/ps4-pro-zamiana-na-nintendo-switch-CID99-IDIWH2q.html#1990a994a4,0
6,Psi Patrol Kosmopieski Nintendo Switch,https://www.olx.pl/oferta/psi-patrol-kosmopieski-nintendo-switch-CID99-IDJv3jt.html#1990a994a4,80
7,Terraria Na Nintendo Switch,https://www.olx.pl/oferta/terraria-na-nintendo-switch-CID99-IDJhHzm.html#1990a994a4,170
8,Super Mario Party Nintendo Switch,https://www.olx.pl/oferta/super-mario-party-nintendo-switch-CID99-IDJv2LM.html#1990a994a4,160
9,Nintendo switch lite + pokemon shield z 2 dlc expansion pass ideolo,https://www.olx.pl/oferta/nintendo-switch-lite-pokemon-shield-z-2-dlc-expansion-pass-ideolo-CID99-IDJj1k4.html#1990a994a4,802
10,Etui/pokrowiec na Nintendo Switch w motywie Mario! Piękny :),https://www.olx.pl/oferta/etui-pokrowiec-na-nintendo-switch-w-motywie-mario-piekny-CID99-IDJv1va.html#1990a994a4,50
11,Switch Hyrule Warriors Age of Calamity Nintendo Switch,https://www.olx.pl/oferta/switch-hyrule-warriors-age-of-calamity-nintendo-switch-CID99-IDJ4Nnk.html#1990a994a4,179
